"Time","EC"
2026-05-03 20:43:30,1125.00 µS/cm
2026-05-03 20:43:34,1115.00 µS/cm
2026-05-03 20:43:40,1125.00 µS/cm
2026-05-03 20:43:46,1130.00 µS/cm
2026-05-03 20:43:50,1120.00 µS/cm
2026-05-03 20:43:56,1125.00 µS/cm
2026-05-03 20:44:02,1130.00 µS/cm
2026-05-03 20:44:06,1125.00 µS/cm
2026-05-03 20:44:12,1136.00 µS/cm
2026-05-03 20:44:18,1125.00 µS/cm
2026-05-03 20:44:22,1132.00 µS/cm
2026-05-03 20:44:28,1104.00 µS/cm
2026-05-03 20:44:34,1125.00 µS/cm
2026-05-03 20:44:38,1130.00 µS/cm
2026-05-03 20:44:44,1137.00 µS/cm
2026-05-03 20:44:48,1125.00 µS/cm
2026-05-03 20:44:54,1132.00 µS/cm
2026-05-03 20:45:00,1132.00 µS/cm
2026-05-03 20:45:04,1132.00 µS/cm
2026-05-03 20:45:10,1126.00 µS/cm
2026-05-03 20:45:16,1130.00 µS/cm
2026-05-03 20:45:20,1120.00 µS/cm
